NumberCode,LongTitle,StatusName,LatestCompletedMajorStageNameWithChamberSuffix,SessionNumber,BillDocumentTypeName,IsGovernmentBill,IsHouseBill,IsSenateBill,SponsorPersonName,LatestBillEventNumberOfAmendments,PassedFirstChamberFirstReading,PassedFirstChamberSecondReading,PassedFirstChamberThirdReading,PassedSecondChamberFirstReading,PassedSecondChamberSecondReading,PassedSecondChamberThirdReading,ReceivedRoyalAssent,IsSessionOngoing
S-267,An Act to amend the Criminal Code (aggravating circumstance — evacuation order or emergency),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-268,An Act to amend the Criminal Code and the Indian Act,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-269,An Act respecting a national framework on advertising for sports betting,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-270,An Act to amend the Health of Animals Act and the Agriculture and Agri-Food Administrative Monetary Penalties Regulations (live horses),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-271,An Act to amend the Royal Canadian Mounted Police Act,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-272,An Act to amend the Director of Public Prosecutions Act,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-1001,"An Act to amalgamate The Roman Catholic Episcopal Corporation of Ottawa and The Roman Catholic Episcopal Corporation for the Diocese of Alexandria-Cornwall, in Ontario, Canada",At second reading in the Senate,First reading in the Senate,1,Senate Private Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
C-1,An Act respecting the administration of oaths of office,Introduced as pro forma bill,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-2,An Act to provide further support in response to COVID-19,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-3,An Act to amend the Criminal Code and the Canada Labour Code,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-4,An Act to amend the Criminal Code (conversion therapy),Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-5,An Act to amend the Criminal Code and the Controlled Drugs and Substances Act,Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-6,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2022",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
C-7,An Act to amend the Parliament of Canada Act and to make consequential and related amendments to other Acts,At second reading in the House of Commons,First reading in the House of Commons,1,House Government Bill,False,True,False, ,0,True,False,False,False,False,False,False,True
C-8,"An Act to implement certain provisions of the economic and fiscal update tabled in Parliament on December 14, 2021 and other measures",Royal assent received,Royal assent,1,House Government Bill,False,True,False, ,0,True,True,True,True,True,True,True,True
